evaluation,model,r2,rmse_pIC50,note
random split,"Random Forest, Morgan radius 2, 2048 bits",0.703,0.715,Selected model
scaffold split,"Random Forest, Morgan radius 2, 2048 bits",0.321,,Harder test on unfamiliar scaffolds
